,Temperature,Clouds,Visibility,Humidity,Pressure,WindSpeed,hour_sin,hour_cos,sin_day_of_month,cos_day_of_month,daylight_duration,Weather_encoded,WeatherDescription_encoded
2024-04-01 22:30:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 22:45:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 23:00:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 23:15:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 23:30:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 23:45:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-02 00:00:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 00:15:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 00:30:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 00:45:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 01:00:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
