Time,Temperature,Clouds,Visibility,Humidity,Pressure,WindSpeed,hour_sin,hour_cos,sin_day_of_month,cos_day_of_month,daylight_duration,Weather_encoded,WeatherDescription_encoded,SolarPower
2024-03-08 19:30:00,5.57,91,10000,91,1018,1.59,-0.9659258262890684,0.2588190451025203,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 19:45:00,5.59,91,10000,91,1018,1.59,-0.9659258262890684,0.2588190451025203,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 20:00:00,5.5,99,10000,92,1018,1.42,-0.8660254037844386,0.5000000000000001,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 20:15:00,5.44,91,10000,91,1018,1.59,-0.8660254037844386,0.5000000000000001,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 20:30:00,5.46,95,10000,91,1018,1.43,-0.8660254037844386,0.5000000000000001,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 20:45:00,5.41,95,10000,91,1018,1.43,-0.8660254037844386,0.5000000000000001,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 21:00:00,5.41,95,10000,91,1018,1.43,-0.7071067811865477,0.7071067811865474,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 21:15:00,5.4,95,10000,91,1018,1.43,-0.7071067811865477,0.7071067811865474,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 21:30:00,5.4,95,10000,91,1017,1.25,-0.7071067811865477,0.7071067811865474,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 21:45:00,5.39,95,10000,91,1017,1.25,-0.7071067811865477,0.7071067811865474,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 22:00:00,5.4,95,10000,91,1017,1.25,-0.5000000000000004,0.8660254037844384,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 22:15:00,5.4,95,10000,91,1017,1.25,-0.5000000000000004,0.8660254037844384,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 22:30:00,5.54,94,10000,93,1017,1.44,-0.5000000000000004,0.8660254037844384,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 22:45:00,5.54,94,10000,93,1017,1.44,-0.5000000000000004,0.8660254037844384,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 23:00:00,5.54,94,10000,93,1017,1.44,-0.25881904510252157,0.9659258262890681,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 23:15:00,5.54,94,10000,93,1017,1.44,-0.25881904510252157,0.9659258262890681,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 23:30:00,5.38,95,10000,92,1017,1.17,-0.25881904510252157,0.9659258262890681,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 23:45:00,5.36,95,10000,92,1017,1.17,-0.25881904510252157,0.9659258262890681,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-09 00:00:00,5.53,100,10000,90,1017,0.84,0.0,1.0,0.9510565162951536,-0.30901699437494734,11.5625,1,7,0
2024-03-09 00:15:00,5.53,95,10000,92,1017,1.17,0.0,1.0,0.9510565162951536,-0.30901699437494734,11.5625,1,7,0
2024-03-09 00:30:00,5.32,96,10000,94,1016,1.11,0.0,1.0,0.9510565162951536,-0.30901699437494734,11.5625,1,7,0
